Term,Language ,Source
Anomalous secondary growth,English,Artschwager 1920; Esau 1965
Anomalous secondary thickening,English,Haberlandt 1914; Metcalfe & Chalk 1957
Anomalous structure,English,Eames & MacDaniels 1925; Solereder 1908; Esau 1965
Anomalous thickening ,English,De Bary 1884
Cambial variants,English,Carlquist 1988
Vascular variants,English,This study
Structure anormale,French,Netto 1863; Chodat & Roulet 1892; Obaton 1960
Anomale Dickenwachsthum,German,Schulz 1884
Anomalen Structur,German,Schenck 1893
Anomalen Holzbildungen,German,Krüger 1884
Anomalischer Holzbildung,German,Treviranus 1847
Anomalie di struttura,Italian,Avetta 1887
Crescimento secundário anômalo,Portuguese,This project
Estruturas anômalas,Portuguese,Apezzato-da-Glória 2006; Tamaio and Angyalossy 2009
Estruturas não-usuais,Portuguese,Apezzato-da-Glória 2006
Variações cambiais,Portuguese,Araújo & Costa 2007; Tamaio and Angyalossy 2009
АНОМАЛЬНОЕ BTOPИЧHOE УTOЛЩEHИE,Russian,Timonin 2011
Crescimiento cambial atípico,Spanish,Bodnar & Coturel 2012
Variantes cambiales,Spanish,Borniego & Cabanillas 2014; Cabanillas 2016
